This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
156     0.572347401       0.571395076          0.00190465025      2.65889e+09     6.66077e+10     0.0377601               
157     0.574255226       0.573299726          0.00191099909      2.62487e+09     6.78893e+10     0.0389854               
158     0.57616941        0.575210725          0.00191736908      2.59128e+09     6.94153e+10     0.0403783               
159     0.578089974       0.577128094          0.00192376031      2.55812e+09     7.09096e+10     0.0417822               
160     0.580016941       0.579051855          0.00193017285      2.52539e+09     7.2569e+10      0.0433143               
161     0.581950331       0.580982027          0.00193660676      2.49306e+09     7.41379e+10     0.0448245               
162     0.583890165       0.582918634          0.00194306211      2.46115e+09     7.57128e+10     0.0463702               
163     0.585836466       0.584861696          0.00194953899      2.42964e+09     7.72701e+10     0.0479378               
164     0.587789254       0.586811235          0.00195603745      2.39853e+09     7.84669e+10     0.0493116               
165     0.589748552       0.588767273          0.00196255758      2.36782e+09     8.00255e+10     0.0509434               
166     0.59171438        0.59072983           0.00196909943      2.33749e+09     8.16286e+10     0.0526381               
167     0.593686761       0.59269893           0.0019756631       2.30755e+09     8.3247e+10      0.0543782               
168     0.595665717       0.594674593          0.00198224864      2.278e+09       8.44774e+10     0.0558979               
169     0.59765127        0.596656842          0.00198885614      2.24881e+09     8.63883e+10     0.0579042               
170     0.59964344        0.598645698          0.00199548566      2.22e+09        8.71828e+10     0.0591952               
171     0.601642252       0.600641183          0.00200213728      2.19155e+09     8.95321e+10     0.0615793               
172     0.603647726       0.602643321          0.00200881107      2.16347e+09     9.04367e+10     0.063009                
173     0.605659885       0.604652132          0.00201550711      2.13574e+09     9.11844e+10     0.0643547               
174     0.607678751       0.606667639          0.00202222546      2.10836e+09     9.49282e+10     0.0678669               
175     0.609704347       0.608689864          0.00202896621      2.08133e+09     9.58542e+10     0.0694189               
176     0.611736695       0.61071883           0.00203572943      2.05465e+09     9.55735e+10     0.0701145               
177     0.613775817       0.61275456           0.0020425152       2.0283e+09      1.01898e+11     0.0757253               
178     0.615821737       0.614797075          0.00204932358      2.00229e+09     1.02967e+11     0.0775136               
179     0.617874476       0.616846399          0.00205615466      1.97661e+09     1.03713e+11     0.0790893               
180     0.619934058       0.618902553          0.00206300851      1.95126e+09     1.07803e+11     0.0832766               
181     0.622000504       0.620965562          0.00206988521      1.92623e+09     1.1355e+11      0.0888563               
182     0.624073839       0.623035447          0.00207678482      1.90152e+09     1.15871e+11     0.0918505               
183     0.626154086       0.625112232          0.00208370744      1.87712e+09     1.1786e+11      0.0946418               
184     0.628241266       0.627195939          0.00209065313      1.85303e+09     1.19546e+11     0.0972435               
185     0.630335403       0.629286592          0.00209762197      1.82925e+09     1.21938e+11     0.100479                
186     0.632436521       0.631384214          0.00210461405      1.80578e+09     1.24837e+11     0.104205                
187     0.634544643       0.633488828          0.00211162943      1.7826e+09      1.2748e+11      0.107795                
188     0.636659792       0.635600458          0.00211866819      1.75971e+09     1.30091e+11     0.111433                
189     0.638781991       0.637719126          0.00212573042      1.73712e+09     1.3263e+11      0.115085                
190     0.640911265       0.639844856          0.00213281619      1.71482e+09     1.34929e+11     0.118603                
191     0.643047635       0.641977673          0.00213992558      1.6928e+09      1.36989e+11     0.12198                 
192     0.645191128       0.644117598          0.00214705866      1.67106e+09     1.3971e+11      0.126021                
193     0.647341765       0.646264657          0.00215421552      1.6496e+09      1.42676e+11     0.130371                
194     0.649499571       0.648418872          0.00216139624      1.62841e+09     1.45662e+11     0.134831                
195     0.651664569       0.650580269          0.0021686009       1.60749e+09     1.48571e+11     0.139314                
196     0.653836784       0.65274887           0.00217582957      1.58683e+09     1.51337e+11     0.143754                
197     0.65601624        0.654924699          0.00218308233      1.56644e+09     1.54088e+11     0.148273                
198     0.658202961       0.657107781          0.00219035927      1.54632e+09     1.56609e+11     0.152661                
199     0.660396971       0.659298141          0.00219766047      1.52644e+09     1.59688e+11     0.157688                
200     0.662598294       0.661495801          0.002204986        1.50682e+09     1.62922e+11     0.162977                
201     0.664806955       0.663700787          0.00221233596      1.48746e+09     1.66066e+11     0.168285                
202     0.667022978       0.665913123          0.00221971041      1.46833e+09     1.68991e+11     0.173479                
203     0.669246388       0.668132834          0.00222710945      1.44946e+09     1.72486e+11     0.179373                
204     0.67147721        0.670359943          0.00223453314      1.43082e+09     1.75523e+11     0.184908                
205     0.673715467       0.672594476          0.00224198159      1.41242e+09     1.78499e+11     0.190494                
206     0.675961185       0.674836458          0.00224945486      1.39426e+09     1.81696e+11     0.196432                
207     0.678214389       0.677085913          0.00225695304      1.37632e+09     1.85616e+11     0.203284                
208     0.680475104       0.679342866          0.00226447622      1.35862e+09     1.88878e+11     0.209552                
209     0.682743354       0.681607342          0.00227202447      1.34114e+09     1.92205e+11     0.216022                
210     0.685019165       0.683879366          0.00227959789      1.32389e+09     1.95433e+11     0.222512                
211     0.687302563       0.686158964          0.00228719655      1.30685e+09     1.9964e+11      0.230265                
212     0.689593571       0.688446161          0.00229482054      1.29004e+09     2.03061e+11     0.237264                
213     0.691892216       0.690740981          0.00230246994      1.27344e+09     2.03022e+11     0.240312                
214     0.694198524       0.693043451          0.00231014484      1.25705e+09     2.07643e+11     0.248986                
215     0.696512519       0.695353596          0.00231784532      1.24087e+09     2.11752e+11     0.257223                
216     0.698834227       0.697671441          0.00232557147      1.22489e+09     2.16251e+11     0.266114                
217     0.701163675       0.699997013          0.00233332338      1.20912e+09     2.19706e+11     0.273892                
218     0.703500887       0.702330336          0.00234110112      1.19356e+09     2.24472e+11     0.283483                
219     0.70584589        0.704671437          0.00234890479      1.17819e+09     2.28205e+11     0.291957                
220     0.708198709       0.707020342          0.00235673447      1.16302e+09     2.29682e+11     0.297679                
221     0.710559372       0.709377077          0.00236459026      1.14804e+09     2.34095e+11     0.307358                
222     0.712927903       0.711741667          0.00237247222      1.13325e+09     2.38526e+11     0.317262                
223     0.715304329       0.714114139          0.00238038046      1.11865e+09     2.4319e+11      0.327686                
224     0.717688677       0.71649452           0.00238831507      1.10424e+09     2.47327e+11     0.33761                 
225     0.720080973       0.718882835          0.00239627612      1.09002e+09     2.51699e+11     0.348062                
226     0.722481243       0.721279111          0.0024042637       1.07597e+09     2.56598e+11     0.359468                
227     0.724889513       0.723683374          0.00241227791      1.06211e+09     2.60106e+11     0.369139                
228     0.727305812       0.726095652          0.00242031884      1.04842e+09     2.63928e+11     0.379454                
