This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
251     0.785158973       0.783852552          0.00261284184      0               3.41162e+12     not_avail.              
252     0.787776169       0.786465394          0.00262155131      0               3.52019e+12     not_avail.              
253     0.79040209        0.789086945          0.00263028982      0               3.05675e+12     not_avail.              
254     0.793036763       0.791717235          0.00263905745      0               3.06407e+12     not_avail.              
255     0.795680219       0.794356292          0.00264785431      0               3.39009e+12     not_avail.              
256     0.798332487       0.797004146          0.00265668049      0               3.47656e+12     not_avail.              
257     0.800993595       0.799660827          0.00266553609      0               3.21939e+12     not_avail.              
258     0.803663574       0.802326363          0.00267442121      0               3.29836e+12     not_avail.              
259     0.806342452       0.805000784          0.00268333595      0               3.32941e+12     not_avail.              
260     0.80903026        0.80768412           0.0026922804       0               3.01048e+12     not_avail.              
261     0.811727028       0.810376401          0.00270125467      0               3.18202e+12     not_avail.              
262     0.814432785       0.813077655          0.00271025885      0               3.46016e+12     not_avail.              
263     0.817147561       0.815787914          0.00271929305      0               3.63881e+12     not_avail.              
264     0.819871386       0.818507207          0.00272835736      0               3.54503e+12     not_avail.              
265     0.82260429        0.821235564          0.00273745188      0               3.7193e+12      not_avail.              
266     0.825346305       0.823973016          0.00274657672      0               3.5307e+12      not_avail.              
267     0.828097459       0.826719593          0.00275573198      0               3.39381e+12     not_avail.              
268     0.830857784       0.829475325          0.00276491775      0               3.58445e+12     not_avail.              
269     0.83362731        0.832240243          0.00277413414      0               3.71317e+12     not_avail.              
270     0.836406068       0.835014377          0.00278338126      0               3.86837e+12     not_avail.              
271     0.839194088       0.837797758          0.00279265919      0               3.97499e+12     not_avail.              
272     0.841991401       0.840590417          0.00280196806      0               4.06759e+12     not_avail.              
273     0.844798039       0.843392385          0.00281130795      0               3.81645e+12     not_avail.              
274     0.847614033       0.846203693          0.00282067898      0               3.74842e+12     not_avail.              
275     0.850439413       0.849024372          0.00283008124      0               4.05994e+12     not_avail.              
276     0.853274211       0.851854454          0.00283951485      0               4.08159e+12     not_avail.              
277     0.856118458       0.854693968          0.00284897989      0               4.29597e+12     not_avail.              
278     0.858972187       0.857542948          0.00285847649      0               4.29323e+12     not_avail.              
279     0.861835427       0.860401425          0.00286800475      0               4.52238e+12     not_avail.              
280     0.864708212       0.86326943           0.00287756477      0               4.38993e+12     not_avail.              
281     0.867590573       0.866146994          0.00288715665      0               4.26787e+12     not_avail.              
282     0.870482541       0.869034151          0.0028967805       0               4.55444e+12     not_avail.              
283     0.87338415        0.871930932          0.00290643644      0               4.63693e+12     not_avail.              
284     0.87629543        0.874837368          0.00291612456      0               4.3249e+12      not_avail.              
285     0.879216415       0.877753493          0.00292584498      0               4.53719e+12     not_avail.              
286     0.882147136       0.880679338          0.00293559779      0               4.52213e+12     not_avail.              
287     0.885087627       0.883614935          0.00294538312      0               3.94853e+12     not_avail.              
288     0.888037919       0.886560318          0.00295520106      0               3.82192e+12     not_avail.              
289     0.890998045       0.889515519          0.00296505173      0               4.26174e+12     not_avail.              
290     0.893968039       0.892480571          0.00297493524      0               4.49012e+12     not_avail.              
291     0.896947932       0.895455506          0.00298485169      0               4.50068e+12     not_avail.              
292     0.899937759       0.898440358          0.00299480119      0               4.45106e+12     not_avail.              
293     0.902937551       0.901435159          0.00300478386      0               4.64869e+12     not_avail.              
294     0.905947343       0.904439943          0.00301479981      0               3.92688e+12     not_avail.              
295     0.908967168       0.907454743          0.00302484914      0               3.94637e+12     not_avail.              
296     0.911997058       0.910479592          0.00303493197      0               4.4388e+12      not_avail.              
297     0.915037048       0.913514524          0.00304504841      0               4.5519e+12      not_avail.              
298     0.918087172       0.916559573          0.00305519858      0               4.7597e+12      not_avail.              
299     0.921147462       0.919614771          0.00306538257      0               4.80741e+12     not_avail.              
300     0.924217954       0.922680154          0.00307560051      0               4.72184e+12     not_avail.              
301     0.92729868        0.925755754          0.00308585251      0               4.33248e+12     not_avail.              
302     0.930389676       0.928841607          0.00309613869      0               4.25288e+12     not_avail.              
303     0.933490975       0.931937745          0.00310645915      0               4.3214e+12      not_avail.              
304     0.936602612       0.935044205          0.00311681402      0               4.56058e+12     not_avail.              
305     0.93972462        0.938161019          0.0031272034       0               4.84215e+12     not_avail.              
306     0.942857036       0.941288222          0.00313762741      0               4.9356e+12      not_avail.              
307     0.945999892       0.944425849          0.00314808616      0               5.02503e+12     not_avail.              
308     0.949153225       0.947573936          0.00315857979      0               4.70587e+12     not_avail.              
309     0.95231707        0.950732515          0.00316910838      0               4.64639e+12     not_avail.              
310     0.95549146        0.953901624          0.00317967208      0               4.83926e+12     not_avail.              
311     0.958676431       0.957081296          0.00319027099      0               4.97215e+12     not_avail.              
312     0.961872019       0.960271567          0.00320090522      0               5.23007e+12     not_avail.              
313     0.965078259       0.963472472          0.00321157491      0               5.39372e+12     not_avail.              
314     0.968295187       0.966684047          0.00322228016      0               5.47722e+12     not_avail.              
315     0.971522838       0.969906327          0.00323302109      0               5.29994e+12     not_avail.              
316     0.974761247       0.973139348          0.00324379783      0               5.09195e+12     not_avail.              
317     0.978010451       0.976383146          0.00325461049      0               5.36766e+12     not_avail.              
318     0.981270486       0.979637756          0.00326545919      0               5.49077e+12     not_avail.              
319     0.984541388       0.982903216          0.00327634405      0               5.73284e+12     not_avail.              
320     0.987823192       0.98617956           0.0032872652       0               5.72576e+12     not_avail.              
321     0.991115936       0.989466825          0.00329822275      0               5.90977e+12     not_avail.              
322     0.994419656       0.992765048          0.00330921683      0               6.13523e+12     not_avail.              
323     0.997734388       0.996074264          0.00332024755      0               5.85043e+12     not_avail.              
324     1.00106017        0.999394512          0.00333131504      0               5.7903e+12      not_avail.              
325     1.00439704        1.00272583           0.00334241942      0               5.74793e+12     not_avail.              
326     1.00774503        1.00606825           0.00335356082      0               4.93883e+12     not_avail.              
327     1.01110418        1.00942181           0.00336473936      0               4.94131e+12     not_avail.              
328     1.01447452        1.01278655           0.00337595516      0               5.08048e+12     not_avail.              
329     1.01785611        1.0161625            0.00338720834      0               5.31263e+12     not_avail.              
330     1.02124896        1.01954971           0.00339849903      0               5.60874e+12     not_avail.              
331     1.02465312        1.02294821           0.00340982736      0               5.57748e+12     not_avail.              
332     1.02806863        1.02635804           0.00342119346      0               5.56015e+12     not_avail.              
333     1.03149553        1.02977923           0.00343259743      0               5.15046e+12     not_avail.              
334     1.03493385        1.03321183           0.00344403942      0               4.85464e+12     not_avail.              
335     1.03838363        1.03665587           0.00345551956      0               5.36281e+12     not_avail.              
336     1.04184491        1.04011139           0.00346703795      0               5.35596e+12     not_avail.              
337     1.04531772        1.04357842           0.00347859475      0               5.44627e+12     not_avail.              
338     1.04880211        1.04705702           0.00349019006      0               5.63676e+12     not_avail.              
339     1.05229812        1.05054721           0.00350182403      0               5.75976e+12     not_avail.              
340     1.05580578        1.05404903           0.00351349678      0               5.64519e+12     not_avail.              
341     1.05932513        1.05756253           0.00352520843      0               5.25662e+12     not_avail.              
342     1.06285622        1.06108774           0.00353695913      0               5.30553e+12     not_avail.              
343     1.06639907        1.0646247            0.00354874899      0               5.59412e+12     not_avail.              
344     1.06995374        1.06817345           0.00356057816      0               5.73036e+12     not_avail.              
345     1.07352025        1.07173402           0.00357244675      0               5.88583e+12     not_avail.              
346     1.07709865        1.07530647           0.0035843549       0               6.21878e+12     not_avail.              
347     1.08068898        1.07889083           0.00359630275      0               5.96432e+12     not_avail.              
348     1.08429127        1.08248713           0.00360829043      0               5.58881e+12     not_avail.              
349     1.08790558        1.08609542           0.00362031807      0               5.64667e+12     not_avail.              
350     1.09153193        1.08971574           0.00363238579      0               6.00747e+12     not_avail.              
351     1.09517037        1.09334812           0.00364449374      0               6.16347e+12     not_avail.              
352     1.09882094        1.09699262           0.00365664206      0               6.24506e+12     not_avail.              
