This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
149     0.559168926       0.558238528          0.00186079509      2.90955e+09     1.31196e+11     0.0679676               
150     0.561032822       0.560099324          0.00186699775      2.87236e+09     1.48049e+11     0.0776918               
151     0.562902932       0.561966321          0.00187322107      2.83563e+09     1.05016e+11     0.0558232               
152     0.564779275       0.563839542          0.00187946514      2.79938e+09     2.3761e+11      0.127942                
153     0.566661873       0.565719008          0.00188573003      2.76358e+09     2.46142e+11     0.134253                
154     0.568550745       0.567604738          0.00189201579      2.72824e+09     2.45548e+11     0.135664                
155     0.570445915       0.569496753          0.00189832251      2.69334e+09     2.50839e+11     0.140382                
156     0.572347401       0.571395076          0.00190465025      2.65889e+09     2.5428e+11      0.144152                
157     0.574255226       0.573299726          0.00191099909      2.62487e+09     2.49048e+11     0.143016                
158     0.57616941        0.575210725          0.00191736908      2.59128e+09     2.55881e+11     0.148844                
159     0.578089974       0.577128094          0.00192376031      2.55812e+09     2.55873e+11     0.150768                
160     0.580016941       0.579051855          0.00193017285      2.52539e+09     2.58024e+11     0.154007                
161     0.581950331       0.580982027          0.00193660676      2.49306e+09     2.55747e+11     0.154627                
162     0.583890165       0.582918634          0.00194306211      2.46115e+09     2.54006e+11     0.155566                
163     0.585836466       0.584861696          0.00194953899      2.42964e+09     2.50839e+11     0.155618                
164     0.587789254       0.586811235          0.00195603745      2.39853e+09     2.34498e+11     0.147368                
165     0.589748552       0.588767273          0.00196255758      2.36782e+09     2.31314e+11     0.147252                
166     0.59171438        0.59072983           0.00196909943      2.33749e+09     2.41018e+11     0.15542                 
167     0.593686761       0.59269893           0.0019756631       2.30755e+09     2.47914e+11     0.161941                
168     0.595665717       0.594674593          0.00198224864      2.278e+09       2.34653e+11     0.155268                
169     0.59765127        0.596656842          0.00198885614      2.24881e+09     2.58965e+11     0.173578                
170     0.59964344        0.598645698          0.00199548566      2.22e+09        2.27605e+11     0.154539                
171     0.601642252       0.600641183          0.00200213728      2.19155e+09     2.67966e+11     0.184304                
172     0.603647726       0.602643321          0.00200881107      2.16347e+09     2.54484e+11     0.177304                
173     0.605659885       0.604652132          0.00201550711      2.13574e+09     2.46087e+11     0.173679                
174     0.607678751       0.606667639          0.00202222546      2.10836e+09     3.01345e+11     0.21544                 
175     0.609704347       0.608689864          0.00202896621      2.08133e+09     2.87061e+11     0.207894                
176     0.611736695       0.61071883           0.00203572943      2.05465e+09     2.54509e+11     0.186712                
177     0.613775817       0.61275456           0.0020425152       2.0283e+09      3.48891e+11     0.259277                
178     0.615821737       0.614797075          0.00204932358      2.00229e+09     3.29062e+11     0.247718                
179     0.617874476       0.616846399          0.00205615466      1.97661e+09     3.02823e+11     0.230927                
180     0.619934058       0.618902553          0.00206300851      1.95126e+09     3.66369e+11     0.283016                
181     0.622000504       0.620965562          0.00206988521      1.92623e+09     4.2783e+11      0.334789                
182     0.624073839       0.623035447          0.00207678482      1.90152e+09     4.35388e+11     0.345131                
183     0.626154086       0.625112232          0.00208370744      1.87712e+09     4.34443e+11     0.348858                
184     0.628241266       0.627195939          0.00209065313      1.85303e+09     4.32747e+11     0.352013                
185     0.630335403       0.629286592          0.00209762197      1.82925e+09     4.3088e+11      0.355051                
186     0.632436521       0.631384214          0.00210461405      1.80578e+09     4.46762e+11     0.372924                
187     0.634544643       0.633488828          0.00211162943      1.7826e+09      4.6039e+11      0.389296                
188     0.636659792       0.635600458          0.00211866819      1.75971e+09     4.65697e+11     0.398904                
189     0.638781991       0.637719126          0.00212573042      1.73712e+09     4.72716e+11     0.410184                
190     0.640911265       0.639844856          0.00213281619      1.71482e+09     4.65726e+11     0.409374                
191     0.643047635       0.641977673          0.00213992558      1.6928e+09      4.64237e+11     0.413374                
192     0.645191128       0.644117598          0.00214705866      1.67106e+09     4.69117e+11     0.423154                
193     0.647341765       0.646264657          0.00215421552      1.6496e+09      4.77957e+11     0.436737                
194     0.649499571       0.648418872          0.00216139624      1.62841e+09     5.00682e+11     0.463455                
195     0.651664569       0.650580269          0.0021686009       1.60749e+09     5.01787e+11     0.470522                
196     0.653836784       0.65274887           0.00217582957      1.58683e+09     5.04845e+11     0.479551                
197     0.65601624        0.654924699          0.00218308233      1.56644e+09     5.11201e+11     0.491909                
198     0.658202961       0.657107781          0.00219035927      1.54632e+09     5.00043e+11     0.487435                
199     0.660396971       0.659298141          0.00219766047      1.52644e+09     5.17988e+11     0.511502                
200     0.662598294       0.661495801          0.002204986        1.50682e+09     5.43796e+11     0.543978                
